PSR name,Mp (M)®,Target
0,1.4401,NO
1,2.01,YES
2,1.44,NO
3,1.559,YES
4,1.34,NO
5,1.25,NO
6,1.53,NO
7,1.338185,NO
8,2.08,YES
9,1.64,YES
10,1.71,YES
11,1.72,YES
12,1.68,YES
13,1.27,NO
14,1.61,YES
15,1.333,NO
16,1.94,YES
17,"
1.35",NO
18,1.47,NO
19,1.341,NO
20,1.3412,NO
21,1.24,NO
22,1.3655,NO
23,1.306,NO
24,1.37,NO
25,1.59,YES
26,1.667,YES
27,1.291,NO
28,"
1.492
",NO
29,1.55,YES
30,1.62,YES
31,1.438,NO
32,1.29,NO
33,1.4,NO
34,1.828,YES
35,1.34,NO
36,1.496,NO
37,1.38,NO
38,1.251,NO
39,1.4,NO
40,1.358,NO
41,1.831,YES
42,1.353,NO
43,1.34,NO
45,1.49,NO
46,1.2,NO
47,1.48,NO
48,1.59,YES
49,1.62,YES
50,2.52,YES
51,1.42,NO
52,1.96,YES
53,1.96,YES
54,1.7,YES
55,1.65,YES
56,1.79,YES
57,1.33,NO
58,1.74,YES
59,1.367,NO
60,1.25,NO
61,1.31,NO
62,1.43,NO
63,1.559,YES
64,1.34,NO
65,1.25,NO
66,1.338185,NO
67,1.248868,NO
68,1.2,NO
69,1.4,NO
70,1.48,NO
71,1.59,YES
72,1.62,YES
73,1.42,NO
74,1.333,NO
75,1.4,NO
76,1.3,NO
77,1.341,NO
78,1.3406,NO
79,1.79,YES
80,1.3655,NO
81,1.74,YES
82,2.4,YES
83,1.306,NO
84,1.4,NO
85,1.291,NO
86,1.62,YES
87,1.438,NO
88,1.25,NO
89,1.31,NO
90,1.358,NO
91,1.43,NO
92,1.559,YES
93,1.3381,NO
94,1.333,NO
95,1.341,NO
96,1.291,NO
97,1.4398,NO
98,1.358,NO
99,1.768,YES
100,1.64,YES
101,1.34,NO
102,1.32,NO
103,1.27,NO
104,1.44,NO
105,2.01,YES
106,1.44,NO
107,1.53,NO
108,1.64,YES
109,1.83,YES
110,1.928,YES
111,1.31,NO
112,1.47,NO
113,1.24,NO
114,1.3655,NO
115,1.31,NO
116,1.55,YES
117,1.19,NO
118,1.2,NO
119,1.4378,NO
120,2.097,YES
121,1.668,YES
122,1.61,YES
123,2.453,YES
124,2.29,YES
125,2.17,YES
126,2.2,YES
127,1.97,YES
128,1.62,YES
129,1.616,YES
130,1.3,NO
131,1.4,NO
132,1.908,YES
133,2.01,YES
134,2.072,YES
135,1.3381,NO
136,1.56,YES
137,1.3452,NO
138,1.4,NO
139,1.56,YES
140,1.4,NO
141,1.365,NO
142,1.4398,NO
143,1.358,NO
144,1.76,YES
145,1.7,YES
146,1.26,NO
147,1.64,YES
148,1.27,NO
149,1.97,YES
150,1.53,NO
151,1.24,NO
152,1.57,YES
153,1.438,NO
154,1.38,NO
155,1.48,NO
156,1.49,NO
157,2.1,YES
158,1.91,YES
159,1.79,YES
160,1.26,NO
161,1.4,NO
162,1.96 ,YES
163,1.53 ,NO
164,1.96 ,YES
165,1.74 ,YES
166,2.0 ,YES
167,2.12 ,YES
168,1.02 ,NO
169,1.44 ,NO
170,1.91 ,YES
171,1.57 ,YES
172,1.41 ,NO
173,1.559,YES
174,1.322,NO
175,1.3452 ,NO
176,1.4398 ,NO
177,1.358 ,NO
178,1.3381 ,NO
179,1.312 ,NO
180,1.3655 ,NO
181,1.33 ,NO
182,1.40 ,NO
183,1.35 ,NO
184,1.37,NO
185,1.72 ,YES
186,1.27 ,NO
187,1.47,NO
188,1.908,YES
189,2.01,YES
190,1.76 ,YES
191,1.393 ,NO
192,1.47 ,NO
193,1.83 ,YES
194,1.44 ,NO
195,1.48 ,NO
196,1.24 ,NO
197,1.34 ,NO
198,1.38 ,NO
199,1.4378 ,NO
200,1.828 ,YES
201,1.29 ,NO
202,1.58 ,YES
203,1.71 ,YES
204,1.666,YES
205,1.44,NO
